날짜,공급예비력
2021-06-01-00-00-00,440000
2021-06-01-01-00-00,478000
2021-06-01-02-00-00,507000
2021-06-01-03-00-00,483000
2021-06-01-04-00-00,492000
2021-06-01-05-00-00,491000
2021-06-01-06-00-00,501000
2021-06-01-07-00-00,516000
2021-06-01-08-00-00,555000
2021-06-01-09-00-00,596000
2021-06-01-10-00-00,608000
2021-06-01-11-00-00,611000
2021-06-01-12-00-00,650000
2021-06-01-13-00-00,666000
2021-06-01-14-00-00,592000
2021-06-01-15-00-00,543000
2021-06-01-16-00-00,445000
2021-06-01-17-00-00,333000
2021-06-01-18-00-00,328000
2021-06-01-19-00-00,288000
2021-06-01-20-00-00,275000
2021-06-01-21-00-00,298000
2021-06-01-22-00-00,326000
2021-06-01-23-00-00,370000
2021-06-02-00-00-00,413000
2021-06-02-01-00-00,469000
2021-06-02-02-00-00,520000
2021-06-02-03-00-00,483000
2021-06-02-04-00-00,491000
2021-06-02-05-00-00,516000
2021-06-02-06-00-00,482000
2021-06-02-07-00-00,444000
2021-06-02-08-00-00,416000
2021-06-02-09-00-00,447000
2021-06-02-10-00-00,404000
2021-06-02-11-00-00,492000
2021-06-02-12-00-00,523000
2021-06-02-13-00-00,474000
2021-06-02-14-00-00,517000
2021-06-02-15-00-00,534000
2021-06-02-16-00-00,486000
2021-06-02-17-00-00,438000
2021-06-02-18-00-00,377000
2021-06-02-19-00-00,378000
2021-06-02-20-00-00,386000
2021-06-02-21-00-00,444000
2021-06-02-22-00-00,466000
2021-06-02-23-00-00,502000
2021-06-03-00-00-00,520000
2021-06-03-01-00-00,553000
2021-06-03-02-00-00,568000
2021-06-03-03-00-00,556000
2021-06-03-04-00-00,546000
2021-06-03-05-00-00,540000
2021-06-03-06-00-00,568000
2021-06-03-07-00-00,547000
2021-06-03-08-00-00,507000
2021-06-03-09-00-00,479000
2021-06-03-10-00-00,458000
2021-06-03-11-00-00,495000
2021-06-03-12-00-00,578000
2021-06-03-13-00-00,465000
