,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전기대수,급속충전기대수,주차료부과여부,관리업체명,관리업체전화번호,경도,위도,V2G충전기대수
0,정방동문화의집,연중무휴,00:00,23:59,0,1,N,제주특별자치도,1899-8852,126.5702672,33.2465421,0
1,㈜두레(퍼스트70호텔),연중무휴,00:00,23:59,1,0,N,대영채비,1522-2573,126.5668471,33.24725224,0
2,홍로공영주차장,연중무휴,00:00,23:59,0,4,N,환경부(한국자동차환경협회),1661-9408,126.5671727,33.2663197,1
3,한빛 분향소,연중무휴,00:00,23:59,1,0,N,KT,1522-0123,126.5671727,33.2663197,0
4,대한예수교장로회 서귀포교회,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.5671727,33.2663197,0
5,성지,연중무휴,00:00,23:59,2,0,N,지엔텔,1544-4279,126.5750443,33.25542766,0
6,동홍동주민센터,연중무휴,00:00,23:59,1,0,N,제주특별자치도,1899-8852,126.5689267,33.2578824,0
7,동홍동주민센터,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.5689267,33.2578824,0
8,서귀포중앙 골프연습장,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.5639609,33.27442085,0
9,서귀포시민회관,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.5667351,33.25169148,0
10,녹지제주헬스케어타운 유한회사,고객외 이용불가,00:00,23:59,5,0,N,KT,1522-0123,126.5668704,33.2612364,0
11,서귀포테니스장,연중무휴,00:00,23:59,0,2,N,제주특별자치도,1899-8852,126.5642119,33.25759736,0
12,코리아마트,연중무휴,00:00,23:59,2,1,N,한국전기차충전서비스,1522-1782,126.570198,33.2523774,0
13,코리아마트,연중무휴,00:00,23:59,1,0,N,제주전기자동차서비스,1670-2690,126.570198,33.2523774,0
14,퐁낭작은도서관 앞 공영주차장(비석거리),연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.5722626,33.25544697,0
15,삼화석유 에이스주유소,연중무휴,00:00,23:59,0,2,N,SK에너지,,126.5724446,33.25509055,0
16,서귀포 자기주도학습지원센터,연중무휴,00:00,23:59,0,1,N,환경부(한국자동차환경협회),1661-9408,126.5703212,33.25129639,0
17,막동주차장,연중무휴,00:00,23:59,3,0,N,한국전기차충전서비스,1522-1782,126.5209467,33.2558886,1
18,송악리조트렌트,연중무휴,00:00,23:59,2,0,N,KT,1522-0123,126.2916634,33.21232307,0
