ds,yhat,yhat_lower,yhat_upper
2021-06-01 00:00:00,487513.2772760974,384511.2794232301,601534.8521247677
2021-06-01 01:00:00,521994.80218401557,413025.3034536751,632678.6647430165
2021-06-01 02:00:00,547535.3416393956,433818.6788566242,665715.6367754837
2021-06-01 03:00:00,565729.9581467409,461446.6225303505,679015.9027164583
2021-06-01 04:00:00,577513.3590881928,470520.1917395335,685726.0926458853
2021-06-01 05:00:00,582060.5277138897,474866.7030806157,685821.7226799568
2021-06-01 06:00:00,578679.5222406788,470211.11596229457,686542.5788221126
2021-06-01 07:00:00,569657.9155230823,459251.13902464684,672224.305426108
2021-06-01 08:00:00,560962.4340683997,448944.1660974734,676464.5471650977
2021-06-01 09:00:00,559470.1225621587,452013.8258008474,674010.8991104185
2021-06-01 10:00:00,568462.6932348346,447577.6577388226,671342.430066384
2021-06-01 11:00:00,584748.1009024526,478128.3750948306,693626.1540274796
2021-06-01 12:00:00,599612.6162622401,491446.958501663,709719.2654464449
2021-06-01 13:00:00,602967.5296608823,493972.2654216155,715920.2220923444
2021-06-01 14:00:00,587987.1870962658,482656.6184145535,696054.7053260495
2021-06-01 15:00:00,553748.3126051631,438525.79509808647,663588.9191962886
2021-06-01 16:00:00,505230.626907153,391885.09517849993,610046.8996888284
2021-06-01 17:00:00,451627.64528202807,341513.4301374479,555474.4686569482
2021-06-01 18:00:00,404052.7798919824,293825.04956299794,511919.94341567263
2021-06-01 19:00:00,372940.6061298462,262804.0949124188,476393.3823563934
2021-06-01 20:00:00,365132.9031872599,273074.6506172939,467835.1896511677
2021-06-01 21:00:00,381366.18536591175,268778.5421807837,486010.4800096786
2021-06-01 22:00:00,415690.3871352431,307416.8763125198,535315.7648359643
2021-06-01 23:00:00,457862.2108200439,354490.88265485014,564808.5711763687
2021-06-02 00:00:00,497828.46276323014,390861.4290206931,615207.9975564147
2021-06-02 01:00:00,529678.4830393381,417210.87850716774,644537.7258280027
2021-06-02 02:00:00,552465.2170409226,439577.20799601916,651416.4298349965
2021-06-02 03:00:00,567812.9675623311,460729.57190295175,670053.2281398262
2021-06-02 04:00:00,576685.9270529015,463074.50467665883,680872.9518440017
2021-06-02 05:00:00,578288.454170321,465485.22129235166,691429.3155470582
2021-06-02 06:00:00,571957.5264620553,460592.4495441444,686113.0044983274
2021-06-02 07:00:00,560008.8458986636,456996.85168247187,665120.6810365891
2021-06-02 08:00:00,548436.1600926764,437948.5943005258,662275.9179936149
2021-06-02 09:00:00,544142.1291803038,433763.2752888254,656247.8759967122
2021-06-02 10:00:00,550432.401219072,437538.09328656836,660546.4968060348
2021-06-02 11:00:00,564136.9401281246,449086.4940685186,664554.7056062693
2021-06-02 12:00:00,576561.8815640843,467575.38483124005,681541.7720951274
2021-06-02 13:00:00,577636.0513778591,467249.1537079592,682814.0620240181
2021-06-02 14:00:00,560548.8503624003,449733.41524762084,663875.2004940533
2021-06-02 15:00:00,524389.4609956349,416787.59457216226,638938.7044786592
2021-06-02 16:00:00,474147.38706614287,368496.32925442344,589904.7949078917
2021-06-02 17:00:00,419023.20973754453,306606.42478234175,529889.836385688
2021-06-02 18:00:00,370134.68532134255,260918.07131366702,478719.61109167215
2021-06-02 19:00:00,337918.04392692336,231316.2757366361,443984.027575076
2021-06-02 20:00:00,329214.0982804265,220375.66024655232,439147.86780016014
2021-06-02 21:00:00,344755.8778693714,229564.71231866736,461029.3700792361
2021-06-02 22:00:00,378587.4496073447,266667.06005851185,494352.61409268825
2021-06-02 23:00:00,420429.2671014752,314028.3282560847,536892.4994449621
2021-06-03 00:00:00,460255.88202915114,353154.2464349528,573372.5502358553
2021-06-03 01:00:00,492135.0368270462,381630.75179139257,610140.8864990892
2021-06-03 02:00:00,515106.20380373584,412094.8926660573,623439.7273739036
2021-06-03 03:00:00,530778.9085506337,418682.6509709231,644298.198307347
2021-06-03 04:00:00,540101.5352671063,432654.4595721803,649076.1728876195
2021-06-03 05:00:00,542261.886749043,430774.0386868498,648221.3134109115
2021-06-03 06:00:00,536579.926804869,432935.85737885535,648725.20881648
2021-06-03 07:00:00,525354.1776991993,402179.7009951748,638954.3256944672
2021-06-03 08:00:00,514561.3313037054,406274.03960612474,624452.4747824202
2021-06-03 09:00:00,511087.3998457366,399705.97064753936,629953.8985489622
2021-06-03 10:00:00,518222.06511493376,409196.9629825001,626860.3716571088
2021-06-03 11:00:00,532780.2663039003,421386.04272981454,638592.7723833754
2021-06-03 12:00:00,546054.2982440752,432672.8097702083,658423.9959174476
2021-06-03 13:00:00,547960.5512782529,442858.1677028181,657149.0541296824
2021-06-03 14:00:00,531677.5934101987,420437.54852462903,641324.8649298871
2021-06-03 15:00:00,496285.5476469709,390920.1909162846,601438.4800985566
2021-06-03 16:00:00,446766.7730665202,336565.2643177833,550130.949517335
2021-06-03 17:00:00,392316.7311545379,280091.179931712,500086.08828134893
2021-06-03 18:00:00,344050.1611676761,233692.4339700145,451949.0047259199
2021-06-03 19:00:00,312402.4225231807,200160.57232224868,422384.9758991437
2021-06-03 20:00:00,304215.61296392756,189309.40827883003,424202.1457004252
2021-06-03 21:00:00,320226.1774069072,209693.80231941497,427627.69264357915
2021-06-03 22:00:00,354457.4128184322,246722.4365351271,471397.65663223434
2021-06-03 23:00:00,396691.65766936704,280213.932813336,498184.076756847
2021-06-04 00:00:00,436884.6154312153,323254.05463617167,548752.223920343
2021-06-04 01:00:00,469115.0414073734,358938.6303030086,583685.8254604605
2021-06-04 02:00:00,492434.93287833285,382105.7906006381,603219.8527572313
2021-06-04 03:00:00,508467.64218837745,401714.62461452215,616716.5238501538
2021-06-04 04:00:00,518176.4487223938,407520.88898543676,623271.374820495
2021-06-04 05:00:00,520764.8656689177,409089.7207523867,632101.0443540699
2021-06-04 06:00:00,515569.11286217725,404844.4088128115,628116.3074876171
2021-06-04 07:00:00,504904.23201062967,390156.6643882119,617623.631484545
2021-06-04 08:00:00,494763.4069300766,385515.1317991036,600323.2561841916
2021-06-04 09:00:00,492048.81872366136,383782.6834329257,596456.6901382788
2021-06-04 10:00:00,500065.69891119684,394386.3967335961,605941.2049585017
2021-06-04 11:00:00,515643.6248727216,404671.2250912101,622413.480616837
2021-06-04 12:00:00,530088.3335156237,420803.4003533219,636251.318559
2021-06-04 13:00:00,533328.1884877558,431784.7230665491,643738.8119837954
2021-06-04 14:00:00,518552.00551640854,412155.5545374635,625274.7730275894
2021-06-04 15:00:00,484848.1925589172,383178.6437719942,598803.6820741136
2021-06-04 16:00:00,437205.2168129677,329388.94796918856,543057.1574087188
2021-06-04 17:00:00,384822.2833892796,274767.50465006504,485358.5456494028
2021-06-04 18:00:00,338815.352292869,227492.28102739723,445641.32438480994
2021-06-04 19:00:00,309618.354326622,209930.44857169923,415402.4320202895
2021-06-04 20:00:00,304069.2167289484,200010.10581420665,416720.88705784397
2021-06-04 21:00:00,322875.03470759117,212142.19499983243,428667.2410425529
2021-06-04 22:00:00,360097.9545609184,257279.21420160477,475923.09930744395
2021-06-04 23:00:00,405481.47047766583,294654.04576281155,499514.8043184128
2021-06-05 00:00:00,448965.9536459352,346209.7568781338,557180.5622233284
2021-06-05 01:00:00,484612.17678910703,375959.25195607456,588095.598999258
2021-06-05 02:00:00,511451.63554863055,406552.32773892005,624938.6016921607
2021-06-05 03:00:00,531084.8288659885,422343.9313263631,639423.4273842365
2021-06-05 04:00:00,544450.0326373257,431480.105099369,643069.7838238413
2021-06-05 05:00:00,550723.8404507254,443438.90965092723,665118.3393108089
2021-06-05 06:00:00,549213.9001650461,440377.99310239375,662974.0445341304
2021-06-05 07:00:00,542205.3196738735,429448.9553915572,649535.8154236479
2021-06-05 08:00:00,535660.3011748991,428314.3555626255,643956.5027475079
2021-06-05 09:00:00,536449.3302335477,432534.2747125474,641720.8038854632
2021-06-05 10:00:00,547845.5787115368,429544.27278564346,666868.1180051188
2021-06-05 11:00:00,566646.5617819973,458430.65681091475,679211.3712669037
2021-06-05 12:00:00,584126.320551733,470471.33083744324,687809.8321854601
2021-06-05 13:00:00,590182.2611637559,480093.42227695725,700241.6408622813
2021-06-05 14:00:00,577973.3503782776,471037.44585670135,682598.7551579244
2021-06-05 15:00:00,546559.6197418586,432052.2718501367,656316.4625414592
2021-06-05 16:00:00,500902.9858500529,396168.2720681431,613833.898859127
2021-06-05 17:00:00,450178.2670529717,349143.57368226245,563798.7049404196
2021-06-05 18:00:00,405479.5189565853,299819.0263330749,522310.3549142784
2021-06-05 19:00:00,377221.5452301281,267296.4410627512,497182.1195194334
2021-06-05 20:00:00,372209.69469953206,259089.03120065294,479401.20933063404
2021-06-05 21:00:00,391177.1380899867,279649.22411809664,496991.1690533928
2021-06-05 22:00:00,428154.32327576017,327370.22977875586,533481.5210039862
2021-06-05 23:00:00,472879.07556890644,368326.43630014634,582030.8141910075
2021-06-06 00:00:00,515289.87216313055,402078.2297850767,623349.0609647316
2021-06-06 01:00:00,549449.4514880548,432793.60262392496,651921.5765051018
